# Fichiers officiels ATIH — Manuel des GHM, version 2025 : annexe 8 (actes classants), annexe 11 (actes mineurs reclassant en GHM médical) et volume 2 par CMD (listes d'actes rattachées aux racines). Source : https://www.atih.sante.fr/manuel-des-ghm-2025-publication-bo
# Extraites le 2026-09-24 par scripts/extraire-referentiel-atih.py : données officielles reprises telles quelles.
# Une ligne par acte classant. racines_ghm = racines dans lesquelles l'acte est classant (volume 2) ; cmds_classantes = CMD de l'annexe 8.
# libelle_ghm = libellé abrégé employé par le manuel (les libellés complets relèvent de la CCAM, voir data/ccam-complete-2025.csv).
code_ccam;racines_ghm;cmds_classantes;reclassant_ghm_medical;libelle_ghm
AAFA001;01C03 01C04 01C11 01C12 17C06;01 17;non;EXÉRÈSE T. INTRAPARENCH CERVELET CRANIOT.
AAFA002;01C03 01C04 01C11 01C12 17C06;01 17;non;EXÉRÈSE T. INTRAPARENCH CERVEAU CRANIOT.
AAFA003;01C03 01C04 01C11 01C12 17C06 21C05;01 17 21;non;EXÉRÈSE LÉS. TR. CÉRÉB. CRANIOT.
AAFA004;01C03 01C04 01C11 01C12 17C06 21C05;01 17 21;non;HÉMISPHÉRECTOMIE FCT CRANIOT.
AAFA005;01C03 01C04 01C11 01C12 17C06;01 17;non;EXÉRÈSE LÉS. CORPS CALLEUX FORNIX/SEPTUM
AAFA006;01C03 01C04 01C11 01C12 17C07 21C05;01 17 21;non;RÉSEC. PARENCHYME CÉRÉB. PR INFARCTUS EXPANSIF
AAFA007;01C03 01C04 01C11 01C12 17C06 21C05;01 17 21;non;EXCISION 1ZONE ÉPILEPTOGÈNE CRANIOT.
AAFA008;01C03 01C04 01C11 01C12 21C05;01 21;non;RÉSEC. PARENCHYME CÉRÉBELLEUX PR INFARCTUS
AAGA900;01C03 01C04 01C11 01C12 17C07 21C05;01 17 21;non;ABL. ÉLECTRODE CORTICALE CÉRÉB. CRANIOT.
AAJA001;01C03 01C04 01C11 01C12 17C06 21C05;01 17 21;non;ÉVAC. COLLECTION CÉRÉB. CRANIOT.
AAJA002;01C03 01C04 01C11 01C12 17C06 21C05;01 17 21;non;ÉVAC. HÉMATOME CÉRÉB. TRAUMA CRANIOT.
AAJA003;01C03 01C04 01C11 01C12 17C06 21C05;01 17 21;non;ÉVAC. HÉMATOME INTRACÉRÉBELLEUX CRANIOT.
AAJA004;01C03 01C04 01C11 01C12 17C06 21C05;01 17 21;non;ÉVAC. HÉMATOME CÉRÉB. NON TRAUMA CRANIOT.
AAJA005;01C03 01C04 01C11 01C12 17C06 21C05;01 17 21;non;ÉVAC. COLLECTION INTRACRÂN. POSTOP REPRISE
AAJA006;01C03 01C04 01C11 01C12 17C06 21C05;01 17 21;non;PARAGE PLAIE CRANIOCÉRÉB.
AAJH001;01C03 01C04 01C11 01C12 17C06 21C05;01 17 21;non;ÉVAC. COLLECTION CÉRÉB. TRANSCRÂN. GUID SCAN
AAJH002;01C03 01C04 01C11 01C12 17C07 21C05;01 17 21;non;ÉVAC. HÉMATOME CÉRÉB. NON TRAUMA TRANSCRÂN. GUID
AAJH003;01C03 01C04 01C11 01C12 17C06 21C05;01 17 21;non;ÉVAC. COLLECTION CÉRÉB. TRANSCRÂN. GUID RADIO
AAJH004;01C03 01C04 01C11 01C12 17C06 21C05;01 17 21;non;ÉVAC. HÉMATOME CÉRÉB. NON TRAUMA TRANSCRÂN. GUID
AAKA001;01C09 17C07 21C05;01 17 21;non;CHANGT 1GÉNÉRATEUR SSCUT STIMUL. CÉRÉB.
AALA002;01C03 01C04 01C11 01C12 17C06 21C05;01 17 21;non;IMPLANT. ÉLECTRODE SUBDURALE PR ECOG CRANIOT.
AALA004;01C09 06C15 08C21 11C08 17C07 21C05;01 06 08 11 17 21;non;IMPLANT. SSCUT 1GÉNÉRATEUR STIMUL. CÉRÉB.
AALA900;01C09 17C06 21C05;01 17 21;non;IMPLANT. ÉLECTRODE CORTICALE CÉRÉB. THÉRAP. CRANIOT.
AALB001;01C09 17C06 21C05;01 17 21;non;IMPLANT. ÉLECTRODE CÉRÉB. THÉRAP. STÉRÉOTAX.
AALB002;01C03 01C04 01C11 01C12 17C06 21C05;01 17 21;non;IMPLANT. ÉLECTRODE CÉRÉB. PR EEG STÉRÉOTAX.
AANB001;01C03 01C04 01C11 01C12 17C06;01 17;non;DESTRUC. 1CIBLE CÉRÉB. À VISÉE FCT STÉRÉOTAX.
AANB741;01C03 01C04 01C11 01C12 17C06;;non;DESTR CIBL INTRACÉRÉB VISÉE FONCTION PAR
AAPA900;01C03 01C04 01C11 01C12 17C06;01 17;non;DÉCONNEXION 1ZONE ÉPILEPTOGÈNE CRANIOT.
AAQP002;23K02;23;non;EEG 8 DÉRIV / > CONTINUE AMBU = 24 H [HOLTER EEG]
AAQP010;23K02;23;non;EEG 8 DÉRIV / > DURÉE > 4 H + ENREG VIDÉO
ABCA001;01C03 01C04 01C11 01C12 17C06 21C05;01 17 21;non;KYSTOVENTR.STOM CRANIOT.
ABCA002;01C03 01C04 01C11 01C12 17C06 21C05;01 17 21;non;DÉRIV. PÉRIT/ATRIALE LCS AB. DIRECT
ABCA003;01C03 01C04 01C11 01C12 17C06 21C05;01 17 21;non;DÉRIV. PÉRIT. 1COLLECTION SUBDURALE LCS AB. DIRECT
ABCA004;01C03 01C04 01C11 01C12 17C06 21C05;01 17 21;non;DÉRIV. PÉRIT/ATRIALE KYSTE INTRACRÂN. AB. DIRECT
ABCB001;01C03 01C04 01C11 01C12 17C07 21C05;01 17 21;non;DÉRIV. EXT. LCS/SUBDURAL TRANSCRÂN.
ABCC001;01C03 01C04 01C11 01C12 17C06 21C05;01 17 21;non;KYSTOVENTR.STOM VIDÉOCHIR INTRACRÂN.
ABFA001;01C03 01C04 01C11 01C12 17C07;01 17;non;EXÉRÈSE +/- FERM. MÉNINGOENCÉPHALOCÈLE BASE SANS
ABFA002;01C03 01C04 01C11 01C12 17C06;01 17;non;EXÉRÈSE LÉS. V3CRANIOT.
ABFA003;01C03 01C04 01C11 01C12 17C07;01 17;non;EXÉRÈSE +/- FERM. MÉNINGOENCÉPHALOCÈLE VOÛTE
ABFA004;01C03 01C04 01C11 01C12 17C06;01 17;non;EXÉRÈSE +/- FERM. MÉNINGOENCÉPHALOCÈLE BASE
ABFA005;01C03 01C04 01C11 01C12 17C06;01 17;non;EXÉRÈSE LÉS. 1VENTR. LAT. CÉRÉB. CRANIOT.
ABFA006;01C03 01C04 01C11 01C12 17C06;01 17;non;EXÉRÈSE LÉS. 4E VENTR. CRANIOT.
