# Fichiers officiels ATIH — Manuel des GHM, version 2025 (arrêté publié au BO du 23/07/2025) : annexe 2 (GHM classés par CMD), annexe 3 (GHM courts et caractéristiques des racines). Source : https://www.atih.sante.fr/manuel-des-ghm-2025-publication-bo
# Extraites le 2026-09-24 par scripts/extraire-referentiel-atih.py : données officielles reprises telles quelles.
# libelle = libellé du GHM représentatif de la racine (version « en ambulatoire » lorsqu'elle existe, sinon premier niveau publié).
# ghm_court : J = ambulatoire strict (0 nuit) ; T0/T1/T2 = très courte durée (0 jour, 0 à 1 jour, 0 à 2 jours).
racine_ghm;cmd;categorie_majeure_ghm;ghm_court;admet_sejour_0_nuit;libelle
01C03;01;Groupes chirurgicaux;;non;Craniotomies pour traumatisme, âge supérieur à 17 ans, niveau 1
01C04;01;Groupes chirurgicaux;;non;Craniotomies en dehors de tout traumatisme, âge supérieur à 17 ans, niveau 1
01C05;01;Groupes chirurgicaux;;non;Interventions sur le rachis et la moelle pour des affections neurologiques, niveau 1
01C06;01;Groupes chirurgicaux;;non;Interventions sur le système vasculaire précérébral, niveau 1
01C08;01;Groupes chirurgicaux;J;oui;Interventions sur les nerfs crâniens ou périphériques et autres interventions sur le système nerveux, en ambulatoire
01C09;01;Groupes chirurgicaux;;non;Pose d'un stimulateur cérébral, niveau 1
01C10;01;Groupes chirurgicaux;J;oui;Pose d'un stimulateur médullaire, en ambulatoire
01C11;01;Groupes chirurgicaux;;non;Craniotomies pour tumeurs, âge inférieur à 18 ans, niveau 1
01C12;01;Groupes chirurgicaux;;non;Craniotomies pour affections non tumorales, âge inférieur à 18 ans, niveau 1
01C14;01;Groupes chirurgicaux;J;oui;Libérations de nerfs superficiels à l'exception du médian au canal carpien, en ambulatoire
01C15;01;Groupes chirurgicaux;J;oui;Libérations du médian au canal carpien, en ambulatoire
01K02;01;Groupes avec acte classant non opératoire;;non;Autres embolisations intracrâniennes et médullaires, niveau 1
01K03;01;Groupes avec acte classant non opératoire;;non;Autres actes thérapeutiques par voie vasculaire du système nerveux, niveau 1
01K04;01;Groupes avec acte classant non opératoire;J;oui;Injections de toxine botulique, en ambulatoire
01K05;01;Groupes avec acte classant non opératoire;J;oui;Séjours pour douleurs chroniques rebelles comprenant un bloc ou une infiltration, en ambulatoire
01K06;01;Groupes avec acte classant non opératoire;J;oui;Affections du système nerveux sans acte opératoire avec anesthésie, en ambulatoire
01K07;01;Groupes avec acte classant non opératoire;;non;Embolisations intracrâniennes et médullaires pour hémorragie, niveau 1
01M04;01;"Groupes ""médicaux""";T1;oui;Méningites virales, très courte durée
01M05;01;"Groupes ""médicaux""";T0;oui;Infections du système nerveux à l'exception des méningites virales, très courte durée
01M07;01;"Groupes ""médicaux""";T0;oui;Maladies dégénératives du système nerveux, âge supérieur à 79 ans, très courte durée
01M08;01;"Groupes ""médicaux""";T0;oui;Maladies dégénératives du système nerveux, âge inférieur à 80 ans, très courte durée
01M09;01;"Groupes ""médicaux""";T0;oui;Affections et lésions du rachis et de la moelle, très courte durée
01M10;01;"Groupes ""médicaux""";T0;oui;Autres affections cérébrovasculaires, très courte durée
01M11;01;"Groupes ""médicaux""";T1;oui;Affections des nerfs crâniens et rachidiens, très courte durée
01M12;01;"Groupes ""médicaux""";T1;oui;Autres affections du système nerveux, très courte durée
01M13;01;"Groupes ""médicaux""";;non;Troubles de la conscience et comas d'origine non traumatique, niveau 1
01M15;01;"Groupes ""médicaux""";T2;oui;Accidents ischémiques transitoires et occlusions des artères précérébrales, âge supérieur à 79 ans, très
01M16;01;"Groupes ""médicaux""";T2;oui;Accidents ischémiques transitoires et occlusions des artères précérébrales, âge inférieur à 80 ans, très courte
01M17;01;"Groupes ""médicaux""";T0;oui;Sclérose en plaques et ataxie cérébelleuse, très courte durée
01M18;01;"Groupes ""médicaux""";T1;oui;Lésions traumatiques intracrâniennes sévères, très courte durée
01M19;01;"Groupes ""médicaux""";;non;Autres lésions traumatiques intracrâniennes, sauf commotions, niveau 1
01M20;01;"Groupes ""médicaux""";;non;Commotions cérébrales, niveau 1
01M21;01;"Groupes ""médicaux""";T0;oui;Douleurs chroniques rebelles, très courte durée
01M22;01;"Groupes ""médicaux""";T0;oui;Migraines et céphalées, très courte durée
01M23;01;"Groupes ""médicaux""";;non;Convulsions hyperthermiques, niveau 1
01M24;01;"Groupes ""médicaux""";T1;oui;Epilepsie, âge inférieur à 18 ans, très courte durée
01M25;01;"Groupes ""médicaux""";T1;oui;Epilepsie, âge supérieur à 17 ans, très courte durée
01M26;01;"Groupes ""médicaux""";T1;oui;Tumeurs malignes du système nerveux, très courte durée
01M27;01;"Groupes ""médicaux""";T1;oui;Autres tumeurs du système nerveux, très courte durée
01M28;01;"Groupes ""médicaux""";T0;oui;Hydrocéphalies, très courte durée
01M29;01;"Groupes ""médicaux""";;non;Anévrysmes cérébraux, niveau 1
01M30;01;"Groupes ""médicaux""";T1;oui;Transferts et autres séjours courts pour accidents vasculaires intracérébraux non transitoires
01M31;01;"Groupes ""médicaux""";T1;oui;Transferts et autres séjours courts pour autres accidents vasculaires cérébraux non transitoires
01M32;01;"Groupes ""médicaux""";;non;Explorations et surveillance pour affections du système nerveux
01M33;01;"Groupes ""médicaux""";;non;Troubles du sommeil, niveau 1
01M34;01;"Groupes ""médicaux""";T1;oui;Anomalies de la démarche d'origine neurologique, très courte durée
01M35;01;"Groupes ""médicaux""";T1;oui;Symptômes et autres recours aux soins de la CMD 01, très courte durée
01M36;01;"Groupes ""médicaux""";;non;Accidents vasculaires cérébraux non transitoires avec décès : séjours de moins de 2 jours
01M37;01;"Groupes ""médicaux""";;non;Autres affections de la CMD 01 avec décès : séjours de moins de 2 jours
01M38;01;"Groupes ""médicaux""";;non;Autres affections neurologiques concernant majoritairement la petite enfance, niveau 1
01M39;01;"Groupes ""médicaux""";;non;Troubles de la régulation thermique du nouveau-né et du nourrisson, niveau 1
02C02;02;Groupes chirurgicaux;J;oui;Interventions sur la rétine, en ambulatoire
02C03;02;Groupes chirurgicaux;J;oui;Interventions sur l'orbite, en ambulatoire
02C05;02;Groupes chirurgicaux;J;oui;Interventions sur le cristallin avec ou sans vitrectomie, en ambulatoire
02C06;02;Groupes chirurgicaux;J;oui;Interventions primaires sur l'iris, en ambulatoire
02C07;02;Groupes chirurgicaux;J;oui;Autres interventions extraoculaires, âge inférieur à 18 ans, en ambulatoire
02C08;02;Groupes chirurgicaux;J;oui;Autres interventions extraoculaires, âge supérieur à 17 ans, en ambulatoire
02C09;02;Groupes chirurgicaux;J;oui;Allogreffes de cornée, en ambulatoire
02C10;02;Groupes chirurgicaux;J;oui;Autres interventions intraoculaires pour affections sévères, en ambulatoire
02C11;02;Groupes chirurgicaux;J;oui;Autres interventions intraoculaires en dehors des affections sévères, en ambulatoire
02C12;02;Groupes chirurgicaux;J;oui;Interventions sur le cristallin avec trabéculectomie, en ambulatoire
02C13;02;Groupes chirurgicaux;J;oui;Interventions sur les muscles oculomoteurs, âge inférieur à 18 ans, en ambulatoire
02M02;02;"Groupes ""médicaux""";;non;Hyphéma, niveau 1
02M03;02;"Groupes ""médicaux""";;non;Infections oculaires aiguës sévères, niveau 1
02M04;02;"Groupes ""médicaux""";T0;oui;Affections oculaires d'origine neurologique, très courte durée
02M05;02;"Groupes ""médicaux""";T0;oui;Autres affections oculaires, âge inférieur à 18 ans, très courte durée
02M07;02;"Groupes ""médicaux""";T0;oui;Autres affections oculaires d'origine diabétique, âge supérieur à 17 ans, très courte durée
02M08;02;"Groupes ""médicaux""";T0;oui;Autres affections oculaires d'origine non diabétique, âge supérieur à 17 ans, très courte durée
02M09;02;"Groupes ""médicaux""";;non;Explorations et surveillance pour affections de l'oeil
02M10;02;"Groupes ""médicaux""";T1;oui;Symptômes et autres recours aux soins de la CMD 02, très courte durée
03C05;03;Groupes chirurgicaux;T2;oui;Réparations de fissures labiale et palatine, très courte durée
03C06;03;Groupes chirurgicaux;J;oui;Interventions sur les sinus et l'apophyse mastoïde, âge inférieur à 18 ans, en ambulatoire
03C07;03;Groupes chirurgicaux;J;oui;Interventions sur les sinus et l'apophyse mastoïde, âge supérieur à 17 ans, en ambulatoire
03C09;03;Groupes chirurgicaux;J;oui;Rhinoplasties, en ambulatoire
03C10;03;Groupes chirurgicaux;;non;Amygdalectomies et/ou adénoïdectomies isolées, âge inférieur à 18 ans, niveau 1
03C11;03;Groupes chirurgicaux;;non;Amygdalectomies et/ou adénoïdectomies isolées, âge supérieur à 17 ans, niveau 1
03C12;03;Groupes chirurgicaux;;non;Interventions sur les amygdales et les végétations adénoïdes autres que les amygdalectomies et/ou les adénoïdectomies isolées, âge inférieur à 18 ans, niveau 1
03C13;03;Groupes chirurgicaux;;non;Interventions sur les amygdales et les végétations adénoïdes autres que les amygdalectomies et/ou les adénoïdectomies isolées, âge supérieur à 17 ans, niveau 1
03C14;03;Groupes chirurgicaux;J;oui;Drains transtympaniques, âge inférieur à 18 ans, en ambulatoire
03C15;03;Groupes chirurgicaux;J;oui;Drains transtympaniques, âge supérieur à 17 ans, en ambulatoire
03C16;03;Groupes chirurgicaux;J;oui;Autres interventions chirurgicales portant sur les oreilles, le nez, la gorge ou le cou, en ambulatoire
03C17;03;Groupes chirurgicaux;J;oui;Interventions sur la bouche, en ambulatoire
03C18;03;Groupes chirurgicaux;;non;Pose d'implants cochléaires, niveau 1
03C19;03;Groupes chirurgicaux;J;oui;Ostéotomies de la face, en ambulatoire
03C20;03;Groupes chirurgicaux;J;oui;Interventions de reconstruction de l'oreille moyenne, en ambulatoire
03C21;03;Groupes chirurgicaux;J;oui;Interventions pour oreilles décollées, en ambulatoire
03C24;03;Groupes chirurgicaux;J;oui;Interventions sur les glandes salivaires, en ambulatoire
03C25;03;Groupes chirurgicaux;;non;Interventions majeures sur la tête et le cou, niveau 1
03C26;03;Groupes chirurgicaux;;non;Autres interventions sur la tête et le cou, niveau 1
03C27;03;Groupes chirurgicaux;J;oui;Interventions sur les amygdales, en ambulatoire
03C28;03;Groupes chirurgicaux;J;oui;Interventions sur les végétations adénoïdes, en ambulatoire
03C29;03;Groupes chirurgicaux;J;oui;Autres interventions sur l'oreille, le nez ou la gorge pour tumeurs malignes, en ambulatoire
03C30;03;Groupes chirurgicaux;J;oui;Interventions sur l'oreille externe, en ambulatoire
03K02;03;Groupes avec acte classant non opératoire;J;oui;Affections de la bouche et des dents avec certaines extractions, réparations et prothèses dentaires, en ambulatoire
03K03;03;Groupes avec acte classant non opératoire;J;oui;Séjours comprenant une endoscopie oto-rhino-laryngologique, en ambulatoire
03K04;03;Groupes avec acte classant non opératoire;J;oui;Séjours comprenant certains actes non opératoires de la CMD 03, en ambulatoire
03M02;03;"Groupes ""médicaux""";T0;oui;Traumatismes et déformations du nez, très courte durée
03M03;03;"Groupes ""médicaux""";T1;oui;Otites moyennes et autres infections des voies aériennes supérieures, âge inférieur à 18 ans, très courte
03M04;03;"Groupes ""médicaux""";T1;oui;Otites moyennes et autres infections des voies aériennes supérieures, âge supérieur à 17 ans, très courte
03M05;03;"Groupes ""médicaux""";T1;oui;Troubles de l'équilibre, très courte durée
03M06;03;"Groupes ""médicaux""";T1;oui;Epistaxis, très courte durée
03M07;03;"Groupes ""médicaux""";T0;oui;Tumeurs malignes des oreilles, du nez, de la gorge ou de la bouche, très courte durée
03M08;03;"Groupes ""médicaux""";T1;oui;Autres diagnostics portant sur les oreilles, le nez, la gorge ou la bouche, âge inférieur à 18 ans, très courte
03M09;03;"Groupes ""médicaux""";T1;oui;Autres diagnostics portant sur les oreilles, le nez, la gorge ou la bouche, âge supérieur à 17 ans, très courte
03M10;03;"Groupes ""médicaux""";T0;oui;Affections de la bouche et des dents sans certaines extractions, réparations ou prothèses dentaires, âge
03M11;03;"Groupes ""médicaux""";T0;oui;Affections de la bouche et des dents sans certaines extractions, réparations ou prothèses dentaires, âge
03M12;03;"Groupes ""médicaux""";;non;Infections aigües sévères des voies aériennes supérieures, âge inférieur à 18 ans, niveau 1
03M13;03;"Groupes ""médicaux""";;non;Infections aigües sévères des voies aériennes supérieures, âge supérieur à 17 ans, niveau 1
03M14;03;"Groupes ""médicaux""";;non;Explorations et surveillance pour affections ORL
03M15;03;"Groupes ""médicaux""";T1;oui;Symptômes et autres recours aux soins de la CMD 03, très courte durée
04C02;04;Groupes chirurgicaux;;non;Interventions majeures sur le thorax, niveau 1
04C03;04;Groupes chirurgicaux;;non;Autres interventions chirurgicales sur le système respiratoire, niveau 1
04C04;04;Groupes chirurgicaux;;non;Interventions sous thoracoscopie, niveau 1
04K02;04;Groupes avec acte classant non opératoire;J;oui;Séjours comprenant une endoscopie bronchique, en ambulatoire
04M02;04;"Groupes ""médicaux""";T1;oui;Bronchites et asthme, âge inférieur à 18 ans, très courte durée
04M03;04;"Groupes ""médicaux""";T1;oui;Bronchites et asthme, âge supérieur à 17 ans, très courte durée
04M04;04;"Groupes ""médicaux""";;non;Pneumonies et pleurésies banales, âge inférieur à 18 ans, niveau 1
04M05;04;"Groupes ""médicaux""";T1;oui;Transferts et autres séjours pour pneumonies et pleurésies banales, âge supérieur à 17 ans
04M06;04;"Groupes ""médicaux""";T1;oui;Transferts et autres séjours courts pour infections et inflammations respiratoires, âge inférieur à 18 ans
04M07;04;"Groupes ""médicaux""";T1;oui;Transferts et autres séjours courts pour infections et inflammations respiratoires, âge supérieur à 17 ans
04M08;04;"Groupes ""médicaux""";T0;oui;Bronchopneumopathies chroniques, très courte durée
04M09;04;"Groupes ""médicaux""";T1;oui;Tumeurs de l'appareil respiratoire, très courte durée
04M10;04;"Groupes ""médicaux""";T2;oui;Embolies pulmonaires, très courte durée
04M11;04;"Groupes ""médicaux""";;non;Signes et symptômes respiratoires, niveau 1
04M12;04;"Groupes ""médicaux""";T1;oui;Pneumothorax, très courte durée
04M13;04;"Groupes ""médicaux""";T0;oui;Oedème pulmonaire et détresse respiratoire, très courte durée
04M14;04;"Groupes ""médicaux""";T0;oui;Maladies pulmonaires interstitielles, très courte durée
04M15;04;"Groupes ""médicaux""";T1;oui;Autres diagnostics portant sur le système respiratoire, très courte durée
04M16;04;"Groupes ""médicaux""";T2;oui;Traumatismes thoraciques, très courte durée
04M17;04;"Groupes ""médicaux""";T0;oui;Epanchements pleuraux, très courte durée
04M18;04;"Groupes ""médicaux""";T2;oui;Bronchiolites, très courte durée
04M19;04;"Groupes ""médicaux""";T0;oui;Tuberculoses, très courte durée
