# Nomenclature CCAM consolidée à partir de trois sources officielles : (1) chapitres 1 à 19 de la CCAM descriptive publiés par l'ATIH (https://www.atih.sante.fr/sites/default/files/public/content/1621/Chapitre_N.pdf) ; (2) jeu de données « CCAM Ameli » (data.gouv.fr / InterHop : actes tarifés en libéral) ; (3) libellés abrégés des listes d'actes du Manuel des GHM 2025. Union des actes : un acte absent d'une source reste présent si une autre le porte.
# Extraites le 2026-09-24 par scripts/extraire-referentiel-atih.py : données officielles reprises telles quelles.
# Les libellés sont repris verbatim de la source indiquée (source_libelle) : la casse diffère donc selon la source.
# chapitre_ccam : 1 à 19 ; 18 = gestes complémentaires et d'anesthésie, 19 = adaptations pour la CCAM transitoire (forfaits).
code;libelle;source_libelle;chapitre_ccam;dans_ameli;dans_atih;dans_annexe8
AAFA001;Exérèse de tumeur intraparenchymateuse du cervelet, par craniotomie;CCAM descriptive (ATIH, chapitres 1 a 19);1;non;oui;oui
AAFA002;exérèse de tumeur intraparenchymateuse du cerveau, par craniotomie;CCAM Ameli (data.gouv.fr);1;oui;oui;oui
AAFA003;Exérèse de lésion du tronc cérébral, par craniotomie;CCAM descriptive (ATIH, chapitres 1 a 19);1;non;oui;oui
AAFA004;Hémisphérectomie fonctionnelle, par craniotomie;CCAM descriptive (ATIH, chapitres 1 a 19);1;non;oui;oui
AAFA005;Exérèse de lésion du corps calleux, du fornix hypothalamique ou du septum pellucide, par craniotomie;CCAM descriptive (ATIH, chapitres 1 a 19);1;non;oui;oui
AAFA006;Résection de parenchyme cérébral pour infarctus expansif, par craniotomie;CCAM descriptive (ATIH, chapitres 1 a 19);1;non;oui;oui
AAFA007;Excision d'une zone épileptogène, par craniotomie;CCAM descriptive (ATIH, chapitres 1 a 19);1;non;oui;oui
AAFA008;Résection de parenchyme cérébelleux pour infarctus expansif, par craniotomie;CCAM descriptive (ATIH, chapitres 1 a 19);1;non;oui;oui
AAGA900;Ablation d’électrode corticale cérébrale, par craniotomie;CCAM descriptive (ATIH, chapitres 1 a 19);1;non;oui;oui
AAGB001;Ablation d’électrode intracérébrale, par voie transcutanée;CCAM descriptive (ATIH, chapitres 1 a 19);1;non;oui;non
AAJA001;Évacuation de collection intracérébrale, par craniotomie;CCAM descriptive (ATIH, chapitres 1 a 19);1;non;oui;oui
