# =====================================================================
# HDJ Vérif — thésaurus des synonymes de la recherche par mots-clés
#
# OBJET
#   Un soignant (ou un secrétariat) ne cherche pas un acte avec les mots de la
#   nomenclature : il écrit « IRM » là où la CCAM écrit « remnographie », « scanner »
#   là où elle écrit « scanographie », « fibro » là où elle écrit « endoscopie
#   œso-gastro-duodénale ». De même, il cherche un médicament par sa classe
#   (« anti-TNF ») plutôt que par sa DCI.
#
#   Ce fichier réunit le **vocabulaire de recherche** en *notions* : chaque ligne
#   appartient à une notion (le concept pivot) et porte un terme, éventuellement typé
#   (sigle, ancienne dénomination, anglicisme, nom commercial, classe thérapeutique…).
#
# RÈGLE DE LECTURE
#   • Deux termes de la même notion sont **synonymes** : chercher l'un trouve l'autre.
#   • Un terme normalisé n'appartient qu'à **une seule** notion (vérifié par les tests) :
#     l'élargissement reste prévisible.
#   • Colonne `domaine` : `actes` (nomenclature CCAM), `medicaments` (BDPM),
#     `commun` (les deux). Les notions `actes`/`commun` alimentent aussi la colonne
#     `mots_cles` des actes à l'import ; les notions `medicaments` n'y sont jamais
#     injectées.
#
#   Ce thésaurus est une **aide à la recherche**, pas une nomenclature : il rapproche
#   des mots, il ne fonde aucune décision médico-administrative.
#
# COLONNES
#   notion  · concept pivot, en clair (jamais affiché à l'usager)
#   terme   · mot ou expression tel qu'on l'écrit
#   type    · vocabulaire courant | sigle | ancienne dénomination | anglicisme |
#             nom commercial | classe thérapeutique | libellé officiel
#   domaine · actes | medicaments | commun
#   source  · d'où vient le rapprochement (usage courant, CCAM, BDPM, Manuel des GHM…)
# =====================================================================
notion;terme;type;domaine;source

# --- Imagerie ---------------------------------------------------------
imagerie;imagerie;vocabulaire courant;actes;usage courant
imagerie;imagerie medicale;vocabulaire courant;actes;usage courant
imagerie;examen d imagerie;vocabulaire courant;actes;usage courant
imagerie;radiologie;vocabulaire courant;actes;usage courant

imagerie par resonance magnetique;IRM;sigle;actes;CCAM (remnographie)
imagerie par resonance magnetique;remnographie;libellé officiel;actes;CCAM
imagerie par resonance magnetique;resonance magnetique;vocabulaire courant;actes;usage courant
imagerie par resonance magnetique;imagerie par resonance magnetique;libellé officiel;actes;Académie nationale de médecine
imagerie par resonance magnetique;mri;anglicisme;actes;usage courant
imagerie par resonance magnetique;magnetic resonance imaging;anglicisme;actes;usage courant

tomodensitometrie;scanner;vocabulaire courant;actes;usage courant
tomodensitometrie;TDM;sigle;actes;Académie nationale de médecine
tomodensitometrie;tomodensitometrie;libellé officiel;actes;CCAM (scanographie)
tomodensitometrie;scanographie;libellé officiel;actes;CCAM
tomodensitometrie;examen tomodensitometrique;vocabulaire courant;actes;usage courant
tomodensitometrie;ct scanner;anglicisme;actes;usage courant

radiographie;radio;vocabulaire courant;actes;usage courant
radiographie;radiographie;libellé officiel;actes;CCAM
radiographie;RX;sigle;actes;usage courant
radiographie;rayons x;vocabulaire courant;actes;CCAM (acte par rayons x)
radiographie;cliche radiographique;vocabulaire courant;actes;usage courant

echographie;echo;vocabulaire courant;actes;usage courant
echographie;echographie;libellé officiel;actes;CCAM
echographie;ultrason;vocabulaire courant;actes;CCAM (acte par ultrasons)
echographie;ultrasons;vocabulaire courant;actes;CCAM
echographie;ultrasonore;vocabulaire courant;actes;CCAM
echographie;ecographie;vocabulaire courant;actes;usage courant

scintigraphie;scintigraphie;libellé officiel;actes;CCAM
scintigraphie;medecine nucleaire;vocabulaire courant;actes;usage courant

pet scanner;TEP;sigle;actes;Académie nationale de médecine
pet scanner;pet scanner;anglicisme;actes;usage courant
pet scanner;tomographie par emission de positons;libellé officiel;actes;Académie nationale de médecine

produit de contraste;produit de contraste;vocabulaire courant;commun;usage courant
produit de contraste;produit de contraste iode;vocabulaire courant;actes;usage courant
produit de contraste;gadolinium;vocabulaire courant;commun;usage courant

# --- Explorations fonctionnelles --------------------------------------
electrocardiogramme;ECG;sigle;actes;usage courant
electrocardiogramme;electrocardiogramme;libellé officiel;actes;CCAM (électrocardiographie)
electrocardiogramme;electrocardiographie;libellé officiel;actes;CCAM

electromyogramme;EMG;sigle;actes;usage courant
electromyogramme;electromyogramme;libellé officiel;actes;CCAM (électromyographie)
electromyogramme;electromyographie;libellé officiel;actes;CCAM

electroencephalogramme;EEG;sigle;actes;usage courant
electroencephalogramme;electroencephalogramme;libellé officiel;actes;CCAM (électroencéphalographie)
electroencephalogramme;electroencephalographie;libellé officiel;actes;CCAM
electroencephalogramme;holter eeg;vocabulaire courant;actes;usage courant

epreuve fonctionnelle respiratoire;epreuve fonctionnelle respiratoire;libellé officiel;actes;CCAM
epreuve fonctionnelle respiratoire;EFR;sigle;actes;usage courant
